,azi,fn,ft
59,118.65921787709496,514.1788720358152,-61.29614836273923
60,120.6703910614525,516.0699948890963,-61.27233800555243
61,122.68156424581004,517.9262748774703,-61.249708741822616
62,124.6927374301676,519.7451506501761,-61.228236993782815
63,126.70391061452511,521.524099323404,-61.207897331556175
64,128.71508379888266,523.2606410153035,-61.1886627352822
65,130.72625698324023,524.9523433451615,-61.17050485215232
66,132.73743016759775,526.5968258785658,-61.153394245688766
67,134.7486033519553,528.1917645264768,-61.137300643862496
68,136.75977653631284,529.734895865169,-61.1221931781512
69,138.7709497206704,531.2240213509576,-61.10804060821082
70,140.7821229050279,532.6570114654581,-61.09481154845652
71,142.79329608938548,534.0318097360632,-61.08247468077036
72,144.804469273743,535.346436638866,-61.070998959480605
73,146.81564245810054,536.5989933702327,-61.06035380723907
74,148.8268156424581,537.7876654767936,-61.05050930154799
75,150.83798882681563,538.9107263341475,-61.041436351721146
76,152.84916201117318,539.9665404651522,-61.03310686609758
77,154.86033519553072,540.9535666892657,-61.025493909354104
78,156.87150837988824,541.7667676741949,-61.00050544634065
79,158.8826815642458,542.5138466964235,-60.977158701635624
80,160.89385474860333,543.196430994441,-60.955925706235774
81,162.90502793296088,543.8135526695787,-60.93680929606709
82,164.91620111731842,544.3643357687836,-60.919811843491566
83,166.92737430167597,544.8479978282609,-60.904935320091376
84,168.9385474860335,545.263851207521,-60.89218133964201
85,170.94972067039106,545.6113042890186,-60.881551205065215
86,172.9608938547486,545.889862496374,-60.873045945084264
87,174.97206703910612,546.0991291456832,-60.86666634533794
88,176.98324022346367,546.238806127141,-60.8624129732733
89,178.9944134078212,546.3086944165683,-60.86028619681555
90,181.00558659217876,546.3086944165683,-60.86028619681555
91,183.0167597765363,546.238806127141,-60.8624129732733
92,185.02793296089385,546.0991291456832,-60.86666634533794
93,187.03910614525137,545.889862496374,-60.873045945084264
94,189.05027932960894,545.6113042890186,-60.881551205065215
95,191.06145251396646,545.263851207521,-60.89218133964201
96,193.072625698324,544.8479978282609,-60.904935320091376
97,195.08379888268155,544.3643357687836,-60.919811843491566
98,197.0949720670391,543.8135526695787,-60.93680929606709
99,199.10614525139664,543.196430994441,-60.955925706235774
100,201.11731843575419,542.5138466964235,-60.977158701635624
101,203.12849162011173,541.7667676741949,-61.00050544634065
102,205.13966480446925,540.953566689266,-61.025493909354125
103,207.15083798882682,539.9665404651522,-61.03310686609758
104,209.16201117318434,538.9107263341476,-61.04143635172112
105,211.17318435754188,537.7876654767936,-61.05050930154799
106,213.18435754189943,536.5989933702327,-61.06035380723907
107,215.19553072625698,535.346436638866,-61.070998959480605
108,217.2067039106145,534.0318097360632,-61.08247468077036
109,219.21787709497207,532.6570114654581,-61.09481154845652
110,221.22905027932958,531.2240213509576,-61.10804060821082
111,223.24022346368713,529.734895865169,-61.1221931781512
112,225.2513966480447,528.1917645264768,-61.137300643862496
113,227.26256983240222,526.5968258785658,-61.153394245688766
114,229.27374301675974,524.9523433451615,-61.17050485215232
115,231.2849162011173,523.2606410153035,-61.1886627352822
116,233.29608938547486,521.524099323404,-61.207897331556175
117,235.30726256983237,519.7451506501761,-61.228236993782815
118,237.31843575418992,517.9262748774703,-61.249708741822616
119,239.3296089385475,516.0699948890963,-61.27233800555243
120,241.340782122905,514.1788720358152,-61.29614836273923
121,243.35195530726256,512.2555015789484,-61.321161273247796
122,245.36312849162007,510.30250812535155,-61.34739581050713
123,247.37430167597765,507.9600912378498,-61.345202555014346
124,249.3854748603352,505.48994444314087,-61.33558557563002
125,251.3966480446927,502.99468781446296,-61.32670292584174
126,253.40782122905023,500.4776999095785,-61.31861168169836
127,255.41899441340783,497.94236103082204,-61.31136609575743
128,257.4301675977653,495.392047593475,-61.30501725116635
129,259.4413407821229,492.8301266426719,-61.29961273166199
130,261.45251396648047,490.2599504851573,-61.29519628211995
131,263.463687150838,487.68485150023724,-61.29180749131332
132,265.4748603351955,485.1081371062752,-61.28948147834868
133,267.486033519553,482.53308492413277,-61.288248602431125
134,269.4972067039106,479.65970550663695,-61.25947475446274
135,271.50837988826817,476.6981650360878,-61.22245153299961
136,273.5195530726257,473.75053366597973,-61.18650514811379
137,275.5307262569832,470.8204004218587,-61.15169492407896
138,277.5418994413408,467.91129225211523,-61.11807481651097
139,279.5530726256983,465.02666999789216,-61.08569318196964
140,281.5642458100558,462.1699246383304,-61.0545925772999
141,283.5754189944134,459.3443738185128,-61.0248095951668
142,285.58659217877096,456.54859458777014,-60.99523890458347
143,287.5977653631285,453.71207767708324,-60.94789428445697
144,289.608938547486,450.9176749669167,-60.90216213213793
145,291.62011173184356,448.1684588726751,-60.85807912333525
146,293.6312849162011,445.46741256069197,-60.81567542943218
147,295.64245810055866,442.81742812875245,-60.774974728169596
